q_m_inv,power
-3.8241237748977672e+16,9.0646296957076207e-09
-3.8216210760922056e+16,1.2007661145547127e-08
-3.8191183772866448e+16,1.2168616406465976e-08
-3.8166156784810832e+16,1.4779870922391236e-08
-3.8141129796755216e+16,1.1373231147865127e-08
-3.8116102808699600e+16,1.2224063560618927e-08
-3.8091075820643992e+16,9.1676460279985263e-09
-3.8066048832588376e+16,8.5479381620272003e-09
-3.8041021844532760e+16,4.8697195418013240e-09
-3.8015994856477144e+16,5.3241201359189074e-09
-3.7990967868421536e+16,3.9386138083254123e-09
-3.7965940880365920e+16,5.7068943355692275e-09
-3.7940913892310304e+16,5.5885017765470031e-09
-3.7915886904254696e+16,8.9743329341550486e-09
-3.7890859916199080e+16,1.0633742849830801e-08
-3.7865832928143464e+16,1.3486978353911698e-08
-3.7840805940087848e+16,1.3133145295130420e-08
-3.7815778952032240e+16,1.5744839993896365e-08
-3.7790751963976624e+16,1.3791211723593107e-08
-3.7765724975921008e+16,1.3001672947002468e-08
-3.7740697987865392e+16,9.5369832923361444e-09
-3.7715670999809784e+16,8.6306579682430356e-09
-3.7690644011754168e+16,5.4545509644417602e-09
-3.7665617023698552e+16,4.0818834433248533e-09
-3.7640590035642944e+16,3.9043514068755262e-09
-3.7615563047587328e+16,4.6731885175290271e-09
-3.7590536059531712e+16,8.1775520048541804e-09
-3.7565509071476104e+16,9.2479751963792136e-09
-3.7540482083420488e+16,1.5147880803735885e-08
-3.7515455095364880e+16,1.6673039705738411e-08
-3.7490428107309264e+16,2.1699238459609018e-08
-3.7465401119253648e+16,1.9671601223701511e-08
-3.7440374131198040e+16,2.2527107100660097e-08
-3.7415347143142424e+16,1.8107971662912727e-08
-3.7390320155086808e+16,1.6403036210656303e-08
-3.7365293167031192e+16,1.0300569307650545e-08
-3.7340266178975584e+16,8.1415084850653300e-09
-3.7315239190919968e+16,3.1573215229686103e-09
